"s2","s1","time","z"
98.75,1.25,2000-11-03 08:25:00,12
96.25,1.25,2000-11-03 08:25:00,13
93.75,1.25,2000-11-03 08:25:00,4
91.25,1.25,2000-11-03 08:25:00,4
88.75,1.25,2000-11-03 08:25:00,12
86.25,1.25,2000-11-03 08:25:00,0
83.75,1.25,2000-11-03 08:25:00,0
81.25,1.25,2000-11-03 08:25:00,0
78.75,1.25,2000-11-03 08:25:00,0
76.25,1.25,2000-11-03 08:25:00,0
73.75,1.25,2000-11-03 08:25:00,0
71.25,1.25,2000-11-03 08:25:00,0
68.75,1.25,2000-11-03 08:25:00,0
66.25,1.25,2000-11-03 08:25:00,0
63.75,1.25,2000-11-03 08:25:00,0
61.25,1.25,2000-11-03 08:25:00,0
58.75,1.25,2000-11-03 08:25:00,0
56.25,1.25,2000-11-03 08:25:00,0
53.75,1.25,2000-11-03 08:25:00,0
51.25,1.25,2000-11-03 08:25:00,0
48.75,1.25,2000-11-03 08:25:00,0
46.25,1.25,2000-11-03 08:25:00,0
43.75,1.25,2000-11-03 08:25:00,0
41.25,1.25,2000-11-03 08:25:00,0
38.75,1.25,2000-11-03 08:25:00,0
36.25,1.25,2000-11-03 08:25:00,0
33.75,1.25,2000-11-03 08:25:00,0
31.25,1.25,2000-11-03 08:25:00,-1
28.75,1.25,2000-11-03 08:25:00,21
26.25,1.25,2000-11-03 08:25:00,19
23.75,1.25,2000-11-03 08:25:00,29
21.25,1.25,2000-11-03 08:25:00,24
18.75,1.25,2000-11-03 08:25:00,42
16.25,1.25,2000-11-03 08:25:00,45
13.75,1.25,2000-11-03 08:25:00,48
11.25,1.25,2000-11-03 08:25:00,39
8.75,1.25,2000-11-03 08:25:00,-6
6.25,1.25,2000-11-03 08:25:00,0
3.75,1.25,2000-11-03 08:25:00,0
1.25,1.25,2000-11-03 08:25:00,0
98.75,3.75,2000-11-03 08:25:00,11
96.25,3.75,2000-11-03 08:25:00,8
93.75,3.75,2000-11-03 08:25:00,4
91.25,3.75,2000-11-03 08:25:00,11
88.75,3.75,2000-11-03 08:25:00,0
86.25,3.75,2000-11-03 08:25:00,0
83.75,3.75,2000-11-03 08:25:00,0
81.25,3.75,2000-11-03 08:25:00,0
78.75,3.75,2000-11-03 08:25:00,0
76.25,3.75,2000-11-03 08:25:00,0
73.75,3.75,2000-11-03 08:25:00,0
71.25,3.75,2000-11-03 08:25:00,0
68.75,3.75,2000-11-03 08:25:00,0
66.25,3.75,2000-11-03 08:25:00,0
63.75,3.75,2000-11-03 08:25:00,0
61.25,3.75,2000-11-03 08:25:00,0
58.75,3.75,2000-11-03 08:25:00,0
56.25,3.75,2000-11-03 08:25:00,0
53.75,3.75,2000-11-03 08:25:00,0
51.25,3.75,2000-11-03 08:25:00,0
48.75,3.75,2000-11-03 08:25:00,0
46.25,3.75,2000-11-03 08:25:00,0
43.75,3.75,2000-11-03 08:25:00,0
41.25,3.75,2000-11-03 08:25:00,-5
38.75,3.75,2000-11-03 08:25:00,0
36.25,3.75,2000-11-03 08:25:00,0
33.75,3.75,2000-11-03 08:25:00,-7
31.25,3.75,2000-11-03 08:25:00,11
28.75,3.75,2000-11-03 08:25:00,16
26.25,3.75,2000-11-03 08:25:00,20
23.75,3.75,2000-11-03 08:25:00,25
21.25,3.75,2000-11-03 08:25:00,29
18.75,3.75,2000-11-03 08:25:00,42
16.25,3.75,2000-11-03 08:25:00,36
