,n,is_64_bit,kalman_run,sqrt_run,inf_run,sqinf_run,kalman_comp,sqrt_comp,inf_comp,sqinf_comp
0,10,True,0.0020874953269958496,0.009488608837127686,0.004994528293609619,0.012487490177154541,0.5513761043548584,0.6024587154388428,1.9074325561523438,1.8508350849151611
1,11,True,0.0021228981018066406,0.009639842510223389,0.0050185203552246095,0.012473397254943848,0.6640846729278564,0.8040163516998291,1.9518752098083496,1.8234608173370361
2,12,True,0.0021479105949401855,0.009629492759704589,0.005020279884338379,0.012468419075012206,0.5532779693603516,0.6147723197937012,2.0386157035827637,1.8626978397369385
3,13,True,0.002203526496887207,0.009724855422973633,0.00513542652130127,0.0127722430229187,0.5830552577972412,0.6347165107727051,2.1183440685272217,1.876098871231079
4,14,True,0.002238504886627197,0.00975545883178711,0.005101373195648193,0.012644779682159425,0.6105825901031494,0.6299254894256592,2.4465060234069824,1.911041498184204
5,15,True,0.002230818271636963,0.009817109107971192,0.005146875381469727,0.012630026340484619,0.5776176452636719,0.7806923389434814,2.284128189086914,1.9635615348815918
6,16,True,0.002317354679107666,0.009768571853637695,0.005004124641418457,0.012766144275665282,0.6319866180419922,0.645146369934082,2.0169003009796143,1.8516433238983154
7,17,True,0.0023700714111328123,0.010494849681854247,0.0051181578636169435,0.012768146991729736,0.5909237861633301,0.6712565422058105,1.6364445686340332,1.8209550380706787
8,18,True,0.002392711639404297,0.010555980205535888,0.0050985288619995114,0.012780942916870118,0.5940368175506592,0.6848978996276855,1.7298486232757568,1.801861047744751
9,19,True,0.002411816120147705,0.010635089874267579,0.005110206604003906,0.012866013050079346,0.6214375495910645,0.6993594169616699,1.6021804809570312,1.8610215187072754
10,20,True,0.0024260735511779786,0.010686595439910889,0.005084116458892823,0.012857105731964111,0.5937139987945557,0.6756138801574707,1.810706377029419,1.8560948371887207
11,21,True,0.002471802234649658,0.010716545581817626,0.005122878551483154,0.012901132106781005,0.5901374816894531,1.1276888847351074,1.7334764003753662,1.8818941116333008
