Filter,T,d,n,is_64_bit,average_time,compile_time,Value
Kalman Filter,2,2,3,True,0.0006506204605102539,0.24553775787353516,-16.76784674520287
Information Filter,2,2,3,True,0.001006913185119629,0.23868346214294434,-16.76784674520298
Sqrt Filter,2,2,3,True,0.0005480051040649414,0.16498112678527832,-16.767846745202977
Sqrt Inf Filter,2,2,3,True,0.0006859302520751953,0.1875905990600586,-16.767846745202945
Kalman Filter,3,2,3,True,0.0009396791458129883,0.15251779556274414,-23.883876887947252
Information Filter,3,2,3,True,0.0014348983764648437,0.2532641887664795,-23.883876887947388
Sqrt Filter,3,2,3,True,0.0008115053176879882,0.14802098274230957,-23.883876887947373
Sqrt Inf Filter,3,2,3,True,0.0008843183517456054,0.22500371932983398,-23.883876887947338
Kalman Filter,4,2,3,True,0.0011201143264770509,0.1624467372894287,-32.49445899506218
Information Filter,4,2,3,True,0.0018322229385375976,0.3018660545349121,-32.4944589950623
Sqrt Filter,4,2,3,True,0.0010179758071899414,0.15525579452514648,-32.49445899506231
Sqrt Inf Filter,4,2,3,True,0.0012406349182128907,0.257000207901001,-32.494458995062274
Kalman Filter,5,2,3,True,0.0014565229415893556,0.15878820419311523,-41.22706648845525
Information Filter,5,2,3,True,0.0022307634353637695,0.3098790645599365,-41.22706648845536
Sqrt Filter,5,2,3,True,0.001211094856262207,0.14461803436279297,-41.22706648845536
Sqrt Inf Filter,5,2,3,True,0.0014632463455200196,0.34763216972351074,-41.22706648845532
Kalman Filter,6,2,3,True,0.0016562700271606444,0.15976881980895996,-56.64874805104149
Information Filter,6,2,3,True,0.00269014835357666,0.3563997745513916,-56.64874805104157
Sqrt Filter,6,2,3,True,0.0014654159545898437,0.14427947998046875,-56.64874805104162
Sqrt Inf Filter,6,2,3,True,0.0017002582550048827,0.3241736888885498,-56.648748051041565
Kalman Filter,7,2,3,True,0.0019321203231811523,0.16263270378112793,-64.4682297073446
Information Filter,7,2,3,True,0.003098416328430176,0.3576388359069824,-64.46822970734466
Sqrt Filter,7,2,3,True,0.0016690969467163086,0.15350079536437988,-64.46822970734472
Sqrt Inf Filter,7,2,3,True,0.0020071744918823244,0.39311957359313965,-64.46822970734468
Kalman Filter,8,2,3,True,0.002157759666442871,0.16619062423706055,-72.30330670747333
Information Filter,8,2,3,True,0.0034572124481201173,0.4394094944000244,-72.30330670747333
Sqrt Filter,8,2,3,True,0.0018398046493530273,0.16490912437438965,-72.30330670747345
Sqrt Inf Filter,8,2,3,True,0.002269124984741211,0.4383580684661865,-72.30330670747341
Kalman Filter,9,2,3,True,0.002431774139404297,0.16831064224243164,-81.16459629534837
Information Filter,9,2,3,True,0.0038643836975097655,0.47063708305358887,-81.1645962953484
Sqrt Filter,9,2,3,True,0.002099752426147461,0.1640470027923584,-81.16459629534849
Sqrt Inf Filter,9,2,3,True,0.0025272130966186523,0.4826853275299072,-81.16459629534843
Kalman Filter,10,2,3,True,0.002715015411376953,0.17348504066467285,-88.38020325956758
Information Filter,10,2,3,True,0.004264044761657715,0.514136552810669,-88.38020325956757
Sqrt Filter,10,2,3,True,0.002322220802307129,0.15592670440673828,-88.38020325956771
Sqrt Inf Filter,10,2,3,True,0.0027953147888183593,0.494415283203125,-88.38020325956765
Kalman Filter,11,2,3,True,0.002941799163818359,0.1701192855834961,-96.63911304968518
Information Filter,11,2,3,True,0.004662799835205078,0.48852968215942383,-96.63911304968543
Sqrt Filter,11,2,3,True,0.002521657943725586,0.16630983352661133,-96.6391130496853
Sqrt Inf Filter,11,2,3,True,0.003051137924194336,0.5239062309265137,-96.63911304968526
Kalman Filter,12,2,3,True,0.0031780004501342773,0.15290427207946777,-106.97547799654191
Information Filter,12,2,3,True,0.0050994157791137695,0.5395708084106445,-106.97547799653874
Sqrt Filter,12,2,3,True,0.002701425552368164,0.16298556327819824,-106.97547799654203
Sqrt Inf Filter,12,2,3,True,0.00337066650390625,0.5786600112915039,-106.9754779965418
Kalman Filter,13,2,3,True,0.003435063362121582,0.15718293190002441,-114.77107368115426
Information Filter,13,2,3,True,0.0054550647735595705,0.5565311908721924,-114.77107368115031
