,r,is_64_bit,kalman_run,sqrt_run,inf_run,sqinf_run,kalman_comp,sqrt_comp,inf_comp,sqinf_comp
0,2,False,0.0006051683425903321,0.0005562376976013184,0.0008935260772705078,0.0009510612487792969,0.6347453594207764,0.6231100559234619,0.9161925315856934,1.0265369415283203
1,3,False,,0.0005660295486450195,0.0008572316169738769,0.0009582114219665528,0.861102819442749,0.884577751159668,1.1448173522949219,1.1271905899047852
2,4,False,,0.000583493709564209,0.0008855366706848145,0.0009605741500854492,1.1623897552490234,0.9707369804382324,1.2244107723236084,1.2366018295288086
3,5,False,0.000638575553894043,0.0006319093704223633,0.0009534001350402832,0.0009994149208068849,0.8709557056427002,0.8593711853027344,1.2698884010314941,1.1689910888671875
4,6,False,0.0006612849235534668,0.0006598663330078125,,0.0010285735130310058,0.8982958793640137,0.8607864379882812,1.616591453552246,1.2042160034179688
5,7,False,,0.0006840205192565917,,0.0010455846786499023,0.8992350101470947,0.8894646167755127,1.3057525157928467,1.3574037551879883
6,8,False,,0.0007063078880310058,,0.0010755515098571776,1.0494225025177002,1.1657381057739258,1.3851568698883057,1.3465964794158936
7,9,False,,0.0006920027732849121,,0.00104034423828125,1.0715079307556152,1.246504783630371,1.395247459411621,1.366065263748169
8,10,False,,0.0007039356231689453,,0.0010446953773498536,1.0929076671600342,1.1493749618530273,1.3839106559753418,1.5246775150299072
9,11,False,,0.0007605600357055664,,,1.092848777770996,1.198268175125122,1.4557123184204102,1.4301269054412842
10,12,False,,0.0007828021049499512,,,1.1230976581573486,1.3023669719696045,1.4091053009033203,1.3366279602050781
11,13,False,,0.0007878518104553222,,0.0011223411560058593,1.0870797634124756,1.2649574279785156,1.6134772300720215,1.4253082275390625
12,14,False,,0.0008108210563659668,,0.0011453104019165038,0.8363897800445557,0.9852349758148193,1.2987902164459229,1.1781442165374756
13,15,False,,0.0008415532112121582,,0.0012002730369567872,1.1364386081695557,1.1263318061828613,1.5270588397979736,1.4005107879638672
14,16,False,,0.0008903384208679199,,0.0011938142776489258,1.008204698562622,1.0249226093292236,1.4296655654907227,1.3608851432800293
15,17,False,,0.001198554039001465,,0.001457831859588623,0.9391782283782959,1.1839029788970947,1.3724076747894287,1.3455777168273926
16,18,False,,0.001266188621520996,,0.0015295815467834472,1.1041343212127686,1.3112306594848633,1.520268440246582,1.6058905124664307
17,19,False,,0.0012848711013793946,,0.001593930721282959,0.9631257057189941,1.2253398895263672,1.3929290771484375,1.3580000400543213
18,20,False,,0.0012780618667602539,,0.0018024945259094238,1.0166740417480469,1.2207655906677246,1.5046279430389404,1.4866962432861328
