ProcessDimension,kf,sq,if,sqif,grad_kf,grad_sq,grad_if,grad_sqif
2,0.733330249786377,1.6954123973846436,3.2499778270721436,4.205230474472046,1.5385639667510986,2.1190357208251953,52.30482220649719,84.77791786193848
3,0.7796251773834229,1.7684662342071533,3.3480095863342285,4.205691814422607,1.640697717666626,2.3484957218170166,50.81395626068115,85.21566033363342
4,0.7715582847595215,1.7663884162902832,3.423123359680176,4.34329628944397,1.567535400390625,2.160630226135254,54.647343158721924,83.75931978225708
5,0.8510458469390869,1.8672990798950195,3.476928472518921,4.349921941757202,1.653355360031128,2.4196910858154297,51.44191026687622,85.93027949333191
6,0.8937907218933105,1.9519460201263428,3.5591888427734375,4.541037082672119,1.6759848594665527,2.5789201259613037,51.69582009315491,86.62635326385498
7,0.956796407699585,1.9876492023468018,3.6903774738311768,4.626007080078125,1.7926156520843506,2.5905752182006836,52.30557084083557,81.87130451202393
8,0.9364473819732666,1.9867169857025146,3.6888253688812256,4.655060768127441,1.730194091796875,2.49228835105896,52.728060483932495,79.87369060516357
9,0.9860682487487793,2.08890438079834,3.7505292892456055,4.705270528793335,1.7925667762756348,2.7692222595214844,65.33847451210022,90.60407996177673
10,1.0873234272003174,2.1341705322265625,3.841989040374756,4.731184244155884,1.7547941207885742,2.9030191898345947,65.25165557861328,80.99830150604248
11,1.0943245887756348,2.2406840324401855,3.874990940093994,4.896913766860962,1.841118335723877,2.841813564300537,55.81026911735535,94.32238817214966
12,1.080310344696045,2.185978889465332,3.860253095626831,4.87622857093811,1.806931495666504,2.9242467880249023,56.042068004608154,96.04556560516357
13,1.1751675605773926,2.332296371459961,3.9356255531311035,4.93094801902771,2.01052188873291,2.9966604709625244,56.28270626068115,81.61079049110413
14,1.2562870979309082,2.374640703201294,3.983746767044067,4.988192319869995,2.083759307861328,3.0942904949188232,56.2706184387207,81.56361699104309
15,1.3035309314727783,2.499610185623169,4.031581878662109,4.990384578704834,2.219817638397217,3.1197893619537354,56.17066740989685,99.7754156589508
16,1.2766504287719727,2.4386751651763916,4.037739038467407,5.025537014007568,1.9683647155761719,3.1150639057159424,56.374030113220215,102.16893434524536
17,1.3128817081451416,2.5448501110076904,4.07828688621521,5.082360506057739,2.3110687732696533,3.174840211868286,56.04976773262024,105.25736808776855
18,1.3516592979431152,2.5787901878356934,4.122025966644287,5.121785402297974,2.181222438812256,3.202711343765259,56.318713426589966,82.55521297454834
19,1.4437055587768555,2.651623487472534,4.203834533691406,5.256650447845459,2.2676146030426025,3.3450770378112793,56.40883445739746,87.33792185783386
20,1.4146113395690918,2.6812374591827393,4.205077886581421,5.155395269393921,2.3753678798675537,3.3973121643066406,56.32740259170532,107.80218124389648
21,1.554960012435913,2.8226566314697266,4.2681920528411865,5.289483070373535,2.339951992034912,3.457533121109009,55.760918855667114,84.61877346038818
22,1.5863025188446045,2.969515323638916,4.296468496322632,5.310691595077515,2.564249038696289,3.5615170001983643,82.2815454006195,95.76886296272278
23,1.701115369796753,2.979555130004883,4.398949146270752,5.43575644493103,3.7807774543762207,3.798130750656128,55.98556399345398,114.95879530906677
24,1.9948148727416994,3.2745862007141113,4.28167462348938,5.287539958953857,2.9520368576049805,3.6529123783111572,56.24262571334839,84.40891981124878
25,1.6997051239013672,2.977890968322754,4.369332790374756,5.289381742477417,2.634158134460449,3.6372387409210205,86.50258421897888,84.32119011878967
26,2.198261022567749,3.4730005264282227,4.395885467529297,5.197421312332153,2.8167271614074707,4.487029314041138,58.73957395553589,84.85496759414673
27,2.2629332542419434,3.568679094314575,4.411511421203613,5.18586277961731,2.8548967838287354,4.102957248687744,92.13882684707642,85.3103244304657
28,2.3487961292266846,3.5634195804595947,4.390604496002197,5.217572450637817,2.805802822113037,3.9692318439483643,58.96317720413208,83.39786171913147
29,1.997002363204956,3.3397436141967773,4.523637294769287,5.323346853256226,2.9754436016082764,4.218344688415527,56.84080243110657,86.81564450263977
30,2.0069503784179688,3.4647715091705322,4.618637561798096,5.508805513381958,3.0797386169433594,4.193389415740967,58.372642993927,95.06778717041016
31,2.1646511554718018,3.8792359828948975,4.832189083099365,5.6077611446380615,3.1315970420837402,4.6876466274261475,59.35808777809143,84.69191908836365
32,2.05910325050354,3.482372760772705,4.7351908683776855,5.547584295272827,3.169335126876831,4.316297769546509,84.0000832080841,90.98843216896057
33,2.2364866733551025,3.631850481033325,4.828789234161377,5.654706954956055,3.3670008182525635,4.632178544998169,84.4855523109436,95.46861290931702
34,2.2462236881256104,3.7888693809509277,4.902232885360718,5.728790760040283,3.3974766731262207,4.714385271072388,87.66526341438293,95.16189813613892
35,2.375081777572632,3.893507719039917,5.0012218952178955,5.83173394203186,3.5478079319000244,4.810110330581665,86.75270199775696,92.29212284088135
36,2.9121339321136475,3.9485967159271245,5.0295186042785645,5.835214853286743,3.805539608001709,4.892772436141968,131.23774766921997,92.52219796180725
37,2.477755546569824,4.065535068511963,5.118321180343628,5.9047746658325195,3.770759105682373,4.945876598358154,86.54151678085327,93.20683240890503
38,2.512880563735962,4.144349098205566,5.1589250564575195,5.971386432647705,3.7952399253845215,5.2716851234436035,87.23734617233276,142.9941999912262
39,2.6492178440093994,4.254039525985718,5.234299898147583,6.642688512802124,4.232298135757446,5.350058078765869,87.7410352230072,93.7766981124878
40,2.570028305053711,4.235124588012695,5.193852186203003,5.984771251678467,3.9516675472259517,5.206577777862549,88.21396946907043,93.0536675453186
41,5.776470899581909,7.838937044143678,8.395624160766602,9.802203178405762,9.909369945526123,11.338882446289062,151.35261297225952,101.91467881202698
42,5.058286190032959,8.007426261901855,8.69098424911499,9.787997007369995,9.88013744354248,11.05148434638977,93.85761618614197,101.99585795402527
43,5.03779411315918,8.000106811523438,8.71620774269104,9.893471002578735,9.777743816375732,11.442810297012329,95.00525712966919,100.42805671691895
44,5.013031959533691,8.212722539901733,8.850868940353394,9.802300930023193,9.485129117965698,11.863405704498291,94.51511263847351,101.10604524612427
45,5.450093746185303,8.648132085800171,8.922030925750732,9.921542406082153,10.590687990188599,12.110567092895508,94.9623429775238,103.5425853729248
46,5.817378759384155,8.548741340637207,9.350244998931885,9.836421012878418,10.94369888305664,12.087955474853516,95.80294609069824,101.14636659622192
47,5.932585000991821,8.793272972106934,9.26392912864685,10.422205924987793,10.583523511886597,12.75922179222107,95.6117296218872,163.74739289283752
48,5.641237497329712,9.450212717056274,9.141113758087158,10.006558895111084,10.834325551986694,12.937265634536743,94.95203971862793,103.02702903747559
49,6.001862287521362,9.396681785583496,10.046061277389526,10.06678581237793,10.968589782714844,12.788002490997314,98.37052702903748,102.07377791404724
50,6.863385438919067,9.387973546981812,9.432289600372314,10.487174987792969,11.343967914581299,12.92351484298706,97.87327885627747,170.3209686279297
51,6.881957054138184,10.597798824310303,9.487231969833374,10.500034093856812,11.009105443954468,15.702375173568726,98.61387133598328,105.40773272514343
52,6.665455102920532,9.53925371170044,9.9697744846344,10.03623366355896,11.141152381896973,13.220256567001343,98.97196412086487,103.36733937263489
53,6.918042898178101,9.841457605361938,10.070427656173706,10.25577425956726,12.554994821548462,13.71597409248352,98.70841383934021,102.95096755027771
54,7.201583385467529,10.306090116500854,9.93493914604187,10.647236108779907,11.962915658950806,13.736681938171387,184.3044936656952,104.41802144050598
55,7.113429307937622,10.937104225158691,10.046771764755249,10.640108585357666,12.139120101928711,14.389064311981201,99.43988084793091,105.36961197853088
56,7.501049041748047,10.775357484817505,10.321296453475952,10.382133722305298,11.496078968048096,14.070876836776733,98.7592887878418,104.30231213569641
57,7.137395143508911,11.276031732559204,10.592039823532104,10.727981328964233,12.596180438995361,14.96260404586792,100.34347653388977,312.2578525543213
58,8.724048137664795,10.877509117126465,10.577729940414429,11.111323833465576,12.652063369750977,14.861663579940796,99.03639197349548,105.59858798980713
59,7.909098863601685,11.3247811794281,11.134153604507446,10.781241655349731,12.777547836303711,15.317718982696533,102.69185304641724,106.39336705207825
60,8.146518468856812,12.129439115524292,10.474424362182617,10.995831489562988,13.937516212463379,15.813926458358763,101.24427080154419,105.43835401535034
61,7.739816904067993,11.752363443374634,10.549790859222412,10.771945714950562,13.715234994888306,15.717644691467285,100.95546960830688,352.9554486274719
62,8.910008668899536,11.966639757156372,11.19350552558899,11.024576425552368,13.01537275314331,16.586389541625977,102.17503905296326,107.33071804046631
63,8.162500858306885,12.278261184692383,10.924320220947266,11.75291657447815,13.742692470550537,15.592873096466064,102.13323831558228,107.33341813087463
64,8.482283353805542,12.865437269210815,10.870709419250488,10.754626989364624,14.41343069076538,16.067529916763306,101.24114155769348,107.76623129844666
65,8.787623643875122,13.13069462776184,10.847458839416504,11.78423523902893,14.887927770614624,17.1414315700531,105.1394772529602,109.9351704120636
66,8.742455244064331,14.078456163406372,10.752538442611694,11.419800519943237,15.441941022872925,16.77538275718689,107.41817116737366,109.14248704910278
67,9.359087944030762,12.846914529800415,11.369768381118774,11.455274820327759,16.88452959060669,17.467159032821655,110.5219030380249,110.31293511390686
68,9.22079086303711,13.167216777801514,10.992751121520996,11.587412357330322,15.441856384277344,17.0779550075531,105.44941425323486,109.5222520828247
69,9.250024557113647,13.552731275558472,11.490011215209961,11.34412407875061,15.056746006011963,17.72234559059143,106.81908965110779,112.68409967422485
70,10.675950050354004,13.787691593170166,12.051177024841309,11.620920896530151,15.669987201690674,18.1532883644104,107.94581770896912,112.86023736000061
71,9.753389358520508,14.225454330444336,11.438583135604858,12.2441565990448,15.080854892730713,18.382128477096558,111.45879745483398,111.53885245323181
72,9.885656833648682,14.007396697998047,12.371431589126587,11.701908111572266,14.828993082046509,18.31809401512146,108.99969100952148,110.07067322731018
73,9.43640947341919,14.579815864562988,12.004741430282593,12.546378374099731,16.341341733932495,19.161577224731445,562.7412915229797,112.31205344200134
74,9.824482202529907,14.68687891960144,12.909282445907593,12.051984071731567,20.07279872894287,19.489198923110962,113.87491345405579,113.72728705406189
75,10.510183572769165,15.115731954574585,12.103265523910522,12.481074333190918,17.87290930747986,19.69482421875,110.80302238464355,114.02325868606567
76,9.561587572097778,15.121442079544067,11.921374797821045,12.78288722038269,18.570659160614014,20.210198163986206,114.47620272636414,116.10972285270691
77,10.094249248504639,15.249100923538208,12.233978509902954,13.704695701599121,17.005321979522705,19.537354707717896,110.63931226730347,119.3972909450531
78,10.418015718460083,17.434388399124146,14.868917465209961,12.570542097091675,17.738945484161377,20.92227578163147,111.17342948913574,115.92288255691528
79,10.5434250831604,17.058385610580444,12.692645788192749,12.844177484512329,17.881749868392944,20.645567178726196,111.86022639274597,116.78797483444214
80,13.009506464004517,16.318668127059937,12.899420261383057,12.691439390182495,18.389465808868408,21.621994972229004,110.1616370677948,114.82210874557495
81,11.062612533569336,16.733312606811523,12.897098064422607,12.938859462738037,17.772780656814575,22.045695781707764,118.72160911560059,117.91185975074768
82,11.55413031578064,16.175209283828735,13.411221504211426,13.23213815689087,17.917091846466064,20.72499990463257,114.15984153747559,117.0251214504242
83,17.62663245201111,18.132736682891846,13.714615106582642,12.97733187675476,22.550593614578247,22.73453950881958,116.13844990730286,119.8337721824646
84,13.55049729347229,17.10026502609253,13.2792329788208,13.333464860916138,26.986665725708008,21.515034437179565,119.2081344127655,117.74100065231323
85,12.506433725357056,17.89138674736023,14.393435716629028,13.460937738418579,20.29068350791931,25.252830982208252,119.96919751167297,119.60134625434875
86,12.446515560150146,18.299771547317505,13.76774549484253,13.391730785369873,18.355220556259155,22.325801849365234,124.79833960533142,131.83430671691895
87,14.132415056228638,18.143417835235596,13.7608802318573,13.88525128364563,20.893030166625977,22.760162353515625,120.19717931747437,122.34963297843933
